name,team,position,bye,points,vor,overallRank,positionRank,adp
Chandler Catanzaro,NYJ,k,11,105.188708,-30.6297761,194,28,143.72
Eagles,PHI,dst,10,106.545397,-66.04988172,291,12,145.73
Harrison Butker,CAR,k,11,5.872354949,-129.9461292,807,39,146.3
Bengals,CIN,dst,6,158.0918584,-14.50342035,150,7,147.8
Titans,TEN,dst,8,96.93153206,-75.66374665,327,20,148.36
Wil Lutz,NO,k,5,134.2069311,-1.611553017,110,11,150.0533
Andrew Franks,FA,k,NA,98.11267754,-37.7058066,208,31,150.72
Dan Carpenter,FA,k,NA,0,-135.8184841,809,40,150.81
Blair Walsh,SEA,k,6,135.2754879,-0.542996216,106,9,154.0467
David Njoku,CLE,te,9,63.46290688,-38.37877708,211,26,156.3667
Zach Miller,CHI,te,9,64.69065475,-37.15102921,206,25,156.7267
Vance McDonald,PIT,te,9,60.24669206,-41.5949919,219,27,157.1067
Austin Seferian-Jenkins,NYJ,te,11,47.20973535,-54.63194861,256,36,157.2667
Ryan Griffin,HOU,te,7,40.80451285,-61.03717111,273,39,157.2733
Erik Swoope,IND,te,11,47.37455344,-54.46713052,254,35,157.28
Nick Boyle,BAL,te,10,38.97601718,-62.86566678,282,40,157.32
Packers,GB,dst,8,97.12105509,-75.47422362,325,19,157.415
Cowboys,DAL,dst,6,94.37740841,-78.2178703,346,24,157.83
Raiders,OAK,dst,10,101.4354963,-71.1597824,309,16,158.02
Buccaneers,TB,dst,11,106.2001593,-66.39511943,292,13,159.43
Dwayne Allen,NE,te,9,52.95999466,-48.8816893,234,29,159.8
49ers,SF,dst,11,85.91670829,-86.67857043,391,28,160.03
Ryan Tannehill,MIA,qb,11,88.18,-156.2934094,819,34,160.145
Colts,IND,dst,11,90.43266878,-82.16260993,364,26,160.26
Greg Zuerlein,LAR,k,9,101.91829,-33.90019416,201,29,160.32
Jason Myers,JAC,k,8,123.3432194,-12.4752647,139,17,160.32
Virgil Green,DEN,te,5,41.72774419,-60.11393977,268,38,160.345
Vernon Davis,WAS,te,5,52.05752021,-49.78416375,241,32,160.355
Benjamin Watson,BAL,te,10,52.7017778,-49.13990616,237,30,160.355
Mike Glennon,CHI,qb,9,140.55167,-103.9217394,575,29,160.38
Connor Barth,CHI,k,9,105.8418862,-29.9765979,192,27,160.4
Cody Parkey,MIA,k,11,84.89006964,-50.9284145,246,33,160.41
Jermaine Gresham,ARI,te,8,58.59669309,-43.24499087,222,28,160.42
Randy Bullock,CIN,k,6,88.77281961,-47.04566454,231,32,160.42
Josh McCown,NYJ,qb,11,114.013675,-130.4597344,808,31,160.455
George Kittle,SF,te,11,48.39248813,-53.44919583,251,34,160.47
Garrett Celek,SF,te,11,43.3977966,-58.44388736,264,37,160.48
Jordan Gay,TEN,k,8,0,-135.8184841,809,40,170
Scott Tolzien,IND,qb,11,20.08549213,-224.3879172,825,40,170
Younghoe Koo,LAC,k,8,25.68019884,-110.1382853,639,37,170
Mitchell Trubisky,CHI,qb,9,33.53068026,-210.9427291,824,39,170
Cody Kessler,CLE,qb,9,40.36751439,-204.105895,823,38,170
Christian Hackenberg,NYJ,qb,11,40.63707348,-203.8363359,822,37,170
Paxton Lynch,DEN,qb,5,43.85876606,-200.6146433,821,36,170
Tyler Higbee,LAR,te,9,52.56839913,-49.27328483,238,31,170
Chad Henne,JAC,qb,8,56.86885727,-187.6045521,820,35,170
Browns,CLE,dst,9,76.16370639,-96.43157232,458,32,170
Jets,NYJ,dst,11,79.18187585,-93.41340286,434,31,170
Bears,CHI,dst,9,80.84820155,-91.74707716,420,30,170
Lions,DET,dst,7,82.32200733,-90.27327138,409,29,170
Saints,NO,dst,5,87.47154957,-85.12372914,382,27,170
Redskins,WAS,dst,5,94.11617185,-78.47910687,349,25,170
Bills,BUF,dst,6,95.20650163,-77.38877708,341,23,170
Dolphins,MIA,dst,11,96.70454537,-75.89073334,331,21,170
Zane Gonzalez,CLE,k,9,99.38487453,-36.43360961,205,30,170
Tom Savage,HOU,qb,7,101.5448292,-142.9285801,818,33,170
Robbie Gould,SF,k,11,108.126482,-27.69200219,188,26,170
Aldrick Rosas,NYG,k,8,109.139119,-26.67936511,184,25,170
Ryan Succop,TEN,k,8,123.1219098,-12.69657434,140,18,170
Jared Goff,LAR,qb,9,138.9889988,-105.4844105,593,30,170
Trevor Siemian,DEN,qb,5,157.6789636,-86.79444577,392,28,170
Brian Hoyer,SF,qb,11,164.8624432,-79.61096618,351,26,170
DeShone Kizer,CLE,qb,9,167.7920559,-76.68135349,339,25,170
Zach Hocker,FA,k,NA,0,-135.8184841,809,40,NA
Travis Coons,FA,k,NA,0,-135.8184841,809,40,NA
Mike Meyer,FA,k,NA,0,-135.8184841,809,40,NA
Nick Rose,SF,k,11,0,-135.8184841,809,40,NA
Marshall Koehn,FA,k,NA,0,-135.8184841,809,40,NA
Ross Martin,NYJ,k,11,0,-135.8184841,809,40,NA
Kaimi Fairbairn,HOU,k,7,23.31644101,-112.5020431,666,38,NA
Mike Nugent,FA,k,NA,38.99711142,-96.82137273,460,36,NA
Roberto Aguayo,FA,k,NA,56.71354167,-79.10494248,350,35,NA
Jake Elliott,FA,k,NA,78.91655905,-56.9019251,260,34,NA
